CASH,5610,1226.3,457,1290,1210.1,1290,1300.6
CASH,7862,431.25,111641,485.5,421.25,448,451.35
CASH,8012,382.8,36714,389.35,381.1,389.35,387.2
CASH,15044,81.5,5279891,85,79,84,84.05
CASH,13167,185.45,1483828,189.4,181.35,186,187.75
CASH,9436,78.55,13317,82.9,77,77,84.4
CASH,9862,102.9,568033,102.9,100,102,101.9
CASH,10634,42.65,3940,45.45,41.5,41.5,42.8
CASH,10782,145.9,994810,155,145.6,155,155.05
CASH,2475,254.2,1372609,257,251.35,255.7,257.3
CASH,15259,89.4,2010258,90.9,86.55,89,90.55
CASH,10905,150,3557,163.9,148.05,160.2,162.35
CASH,11373,313.05,141161,317,309.25,315.1,317.85
CASH,11467,137.3,6617,138.95,135.05,137,139.8
CASH,11553,532.4,13128,539,525.3,539,540.05
CASH,11659,46.65,194816,48.05,45.35,48,48.4
CASH,11667,37.2,10107,39.9,36.5,38.5,36.3
CASH,3787,368.95,1354340,375,360.05,365.1,367.65
CASH,3351,498.45,634514,502.7,491.5,492,492.45
CASH,11774,19.7,711812,20.5,19.45,20.25,20.35
CASH,11868,617.5,65254,628.6,601,624,624.1
CASH,13159,43.95,62373,45,42.55,45,45.5
CASH,13192,235,5040,243.05,231.1,235.95,243.75
CASH,13197,92.7,898368,93.45,90.65,92.3,92.55
CASH,13305,50,37131,51,48.7,51,51.3
CASH,1375,21.85,2678575,23.4,21.15,23,23
CASH,14450,63.25,2142899,65.05,62,64.15,65.05
CASH,10,392.7,635718,401.85,383.3,401,401.85
CASH,13528,20.25,10737420,20.9,19.8,20.5,20.65
CASH,13501,124.9,1587,134.3,121.4,124,123.9
CASH,13643,56.85,46424,59,56.2,59,58.7
CASH,13725,38.25,1172899,38.7,37.75,38.7,38.95
CASH,13761,630.75,591,635.6,625,628,633.8
CASH,14506,389.6,32093,393,385,391.6,394.25
CASH,14535,2714,5535,2719,2682,2682,2743.05
CASH,14597,65.5,2187,66.95,63.5,65.2,67.3
CASH,14612,469,615,500,461.6,500,463.95
CASH,14634,265.6,177132,269.85,263.55,269.85,268
CASH,14677,129.7,18062,131,125.05,127,129.65
CASH,14823,257.7,93113,259,256.5,258.55,257.45
CASH,15034,180.2,18687,181.8,175.6,178,178.75
CASH,15141,1010,36341,1013.4,1004.2,1011,1013.65
CASH,15189,273.9,263148,282.7,270,282,280.1
CASH,15204,81.4,2761,83.5,80.05,81.5,81.45
CASH,15379,24.65,86739,24.8,23.5,24.55,24.85
CASH,6733,532.65,1057592,540.7,524,534.15,541.15
CASH,11723,625.45,2099017,659.7,619.1,647,649.45
CASH,16657,29.6,566,32,29.35,30.5,29.3
CASH,16705,88,102328,89.95,82.65,89.4,88.45
CASH,16783,200,214487,201.85,195.05,199.95,198.25
CASH,17038,12.4,28355,13.4,12.15,13,12.8
CASH,17388,73.05,1003629,75.25,70.25,75.2,75.7
CASH,17565,28,2040,31.8,24.65,29.3,29.4
CASH,17806,207.2,78049,212.3,205.05,208.75,209.6
CASH,17821,136.95,377575,146.35,119.1,142.2,146.95
CASH,11630,162,1987943,165,160.5,164.9,165
CASH,15355,177.65,1383297,182.5,175.35,181.55,181.55
CASH,17839,74,1522,83.95,73,83,75
CASH,17881,202.15,431,205,201.35,204,205.45
CASH,17903,1482,1752,1509.45,1473,1490,1502
CASH,17909,50.45,67,58.85,50,50,53.5
CASH,18124,58.4,148834,62.05,58,62.05,62.75
CASH,18160,29.3,52,30,29.3,30,31.75
CASH,18422,165.2,564,168,165,168,171.5
CASH,20534,421.05,225910,448.5,415,443.45,442.85
CASH,11223,59.9,1670734,60.9,58.15,60.5,60.7
CASH,10753,206.55,625374,212,197.15,204.15,207.45
CASH,10734,81,836434,82.5,77.85,79.05,81.35
CASH,1403,121.55,619314,123.95,118.05,120.5,122.3
CASH,14537,60.55,3492455,63.25,59.5,63.25,63.3
CASH,13226,10.85,9288430,10.9,10.4,10.4,10.6
CASH,724,781,91337,818,766,818,806.3
CASH,1076,117.9,2767,121,116.1,121,121.55
CASH,1621,436.55,5258,441.4,433,441.4,441.4
CASH,3021,461,1942,469.85,452.05,452.05,462.8
CASH,3048,61.8,326321,62.9,59.85,61.8,61.2
CASH,3150,718.1,105478,739.8,702,717,721.7
CASH,3360,54.85,4341,55.05,54,55,54.65
CASH,3411,194.5,18572,197.3,192.75,194,196.8
CASH,3423,62.3,9076,63.9,61.15,63.2,63.9
CASH,3432,81.9,387416,82.45,81.2,82.2,82.5
CASH,3481,43.75,61740,44.95,43.2,44.7,44.7
CASH,3518,572.5,7820,574.85,560.9,567,575.85
CASH,1348,2189.9,604745,2202,2100,2100,2118.75
CASH,1330,637.2,1360362,642.9,630.1,630.1,635.05
CASH,3546,2532.85,56371,2561.2,2490.05,2527.95,2536.7
CASH,3549,119,59248,129,117.2,129,127.75
CASH,3676,370,2342,377,360.2,377,375.5
CASH,3721,185.1,42871,189,184.15,189,188
CASH,3724,1138.55,839,1145,1120,1130,1141.1
CASH,3799,56.5,7964,63.95,56,63.95,58
CASH,4221,70.85,42429,71.5,68,71.5,71.4
CASH,4306,526.55,148621,533.7,520,531.9,535.8
CASH,2484,159.45,1265120,162.35,150,151.2,157.1
CASH,13142,48.1,3310513,48.7,45.7,48.45,48.45
CASH,1838,370.8,19454,375,370,374,374.6
CASH,1922,470.55,243816,478,462.8,478,477.85
CASH,5280,358.25,6914,364,356.35,363.1,367.8
CASH,5316,555.5,7090,567.6,546.2,565,563.05
CASH,1994,73,5477,73.75,72.1,72.35,73.35
CASH,2043,112.05,54764,113.1,111,113,114.2
CASH,7179,97.65,376652,99.4,95.2,98,98.85
CASH,7374,400,96675,412,395,412,413.2
CASH,2097,22.35,291,24.2,22.15,23,24.25
CASH,2142,165.35,185600,170.75,163.25,170.3,171.55
CASH,7506,382.85,109106,387.7,372.35,381.7,384.95
CASH,10580,65,3479,66.8,64.1,64.55,65.7
CASH,2265,20.6,416054,21.7,20.3,21.3,21.8
CASH,2268,39,102705,43.1,36.05,38,39.8
CASH,8479,63,844275,63.9,61.5,63.9,63.9
CASH,3267,25.05,1107467,25.9,24,25.1,26.05
CASH,11283,11.65,154463,12.55,11.5,12.55,12.4
CASH,11287,132.3,249319,135.45,131.2,134.5,136.65
CASH,3045,1723.4,2383514,1766,1706.15,1750.1,1757.45
CASH,12018,23.15,43092595,25.45,22.55,25.45,25.65
CASH,2277,6392,1727,6425,6325,6425,6428.15
CASH,2283,62.05,464039,62.3,61,62.2,62.7
CASH,11532,1133.95,64069,1148,1128.05,1148,1147.5
CASH,11739,499.95,2142,505.05,490,502,515.5
